rag_variant,qid,source_dataset,question,prediction,gold_answer,pathway,reliability_score,ndcg_at_3,mrr_at_3,recall_at_3,precision_at_3,hit_rate_at_3,semantic_similarity,rouge_l,f1_score,bleu,exact_match,faithfulness,hallucination_rate,latency_seconds,abstained,abstain_was_correct,hypothetical_f1
bm25,hotpotqa_5a8b57f25542995d1e6f1371,BeIR/hotpotqa,Were Scott Derrickson and Ed Wood of the same nationality?,"No, Scott Derrickson and Ed Wood are not of the same nationality. Scott Derrickson is American, while Ed Wood was also American.","Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and director.",Direct,0.0,0.6131471927654584,1.0,0.5,0.3333333333333333,1.0,0.355762779712677,0.14634146341463414,0.1951219512195122,0.012285946074705657,0.0,0.20318222045898438,0.7968177795410156,6.089282274246216,False,,
bm25,hotpotqa_5a8c7595554299585d9e36b6,BeIR/hotpotqa,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"The context does not provide information about any government position held by Shirley Temple. Shirley Temple was a child actress in the film Kiss and Tell, playing the role of Corliss Archer, but there is no mention of her holding any government position.","Shirley Temple Black (April 23, 1928 – February 10, 2014) was an American actress, singer, dancer, businesswoman, and diplomat who was Hollywood's number one box-office draw as a child actress from 1935 to 1938. As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States.",Direct,0.0,0.6131471927654584,1.0,0.5,0.3333333333333333,1.0,0.5132859349250793,0.17475728155339806,0.19607843137254904,0.021867139142927053,0.0,0.4132843613624573,0.5867156386375427,7.049522876739502,False,,
bm25,hotpotqa_5a85ea095542994775f606a8,BeIR/hotpotqa,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","The science fantasy young adult series that fits this description is Animorphs. Its companion book, The Hork-Bajir Chronicles, narrates stories of enslaved worlds and alien species, specifically focusing on the Hork-Bajir and their experiences under Yeerk enslavement.","Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic. It is told in first person, with all six main characters taking turns narrating the books through their own perspectives. Horror, war, dehumanization, sanity, morality, innocence, leadership, freedom and growing up are the core themes of the series.",Direct,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7054336071014404,0.16666666666666669,0.2830188679245283,0.008783376085566227,0.0,0.7830226421356201,0.21697735786437988,8.297571659088135,False,,
bm25,hotpotqa_5adbf0a255429947ff17385a,BeIR/hotpotqa,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"No, the Laleli Mosque and Esma Sultan Mansion are not located in the same neighborhood. The Laleli Mosque is located in Laleli, Fatih, while the Esma Sultan Mansion is in Ortaköy, both neighborhoods in Istanbul, Turkey.","The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.",Direct,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5928199887275696,0.4067796610169491,0.41379310344827586,0.112289032173749,0.0,0.5322191119194031,0.4677808880805969,7.335819482803345,False,,
bm25,hotpotqa_5a8e3ea95542995a26add48d,BeIR/hotpotqa,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","The director of the romantic comedy ""Big Stone Gap,"" Adriana Trigiani, is based in New York City, specifically in Greenwich Village.","Adriana Trigiani is an Italian American best-selling author of sixteen books, television writer, film director, and entrepreneur based in Greenwich Village, New York City. Trigiani has published a novel a year since 2000.",Direct,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7036004662513733,0.29090909090909084,0.4444444444444444,0.06499246525989126,0.0,0.6444908380508423,0.3555091619491577,5.605603933334351,False,,
bm25,hotpotqa_5abd94525542992ac4f382d2,BeIR/hotpotqa,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"2014 S/S is the debut album of the South Korean boy group WINNER, which was formed by YG Entertainment.","2014 S/S is the debut album of South Korean group WINNER. It was released on August 12, 2014 by the group's record label, YG Entertainment. The members were credited for writing the lyrics and composing the majority of the album's songs.",Direct,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.9084962606430054,0.5000000000000001,0.53125,0.14115981524088572,0.0,0.7246596813201904,0.27534031867980957,4.975208759307861,False,,
bm25,hotpotqa_5a85b2d95542997b5ce40028,BeIR/hotpotqa,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"The individual known by his stage name Aladin who helped organizations improve their performance as a consultant is Eenasul Fateh (born 3 April 1959). However, it's important to note that this dual role as both a cultural practitioner/magician and a former management consultant is not explicitly stated in the provided context. The context only mentions his stage name and background but does not directly link him to management consulting services.","Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement. Organizations may draw upon the services of management consultants for a number of reasons, including gaining external (and presumably objective) advice and access to the consultants' specialized expertise.",Direct,0.0,0.9197207891481876,1.0,1.0,0.6666666666666666,1.0,0.3160162568092346,0.1875,0.265625,0.021318569027048276,0.0,0.6382622718811035,0.3617377281188965,10.06758713722229,False,,
bm25,hotpotqa_5a87ab905542996e4f3088c1,BeIR/hotpotqa,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"The arena where the Lewiston Maineiacs played their home games can seat 4,000 people, with 3,677 of those seats being seated.","The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958. In 1965 it was the location of the World Heavyweight Title fight during which one of the most famous sports photographs of the century was taken of Muhammed Ali standing over Sonny Liston.",Direct,0.0,0.9197207891481876,1.0,1.0,0.6666666666666666,1.0,0.4985107183456421,0.16091954022988506,0.23255813953488372,0.005471580536002938,0.0,0.598487138748169,0.40151286125183105,6.244051218032837,False,,
bm25,hotpotqa_5a7bbb64554299042af8f7cc,BeIR/hotpotqa,"Who is older, Annie Morton or Terry Richardson?","Annie Morton was born on October 8, 1970, while Terrence ""Uncle Terry"" Richardson was born on August 14, 1965. Therefore, Terrence Richardson is older than Annie Morton.","Annie Morton (born October 8, 1970) is an American model born in Pennsylvania. She has appeared on the covers of ""British Vogue"", ""ID"", ""Marie Claire"", and other magazines. She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper's Bazaar"", ""Sports Illustrated"" and Victoria's Secret. A long time vegetarian, an advocate for organic lifestyle choices and natural healthcare. She co-founded Tsi-La Organics, a ""Green Luxury"" company that creates and sells vegan, organic perfume and skin care products.",Direct,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.46141862869262695,0.13953488372093023,0.1889763779527559,0.003890313672355331,0.0,0.48351314663887024,0.5164868533611298,7.827788352966309,False,,
bm25,hotpotqa_5a8db19d5542994ba4e3dd00,BeIR/hotpotqa,Are Local H and For Against both from the United States?,"Yes, both ""H"" and ""For"" in this context refer to aspects or findings related to the spread of SARS-CoV-2 in the United States. Specifically, ""H"" likely refers to the estimation of the reproduction number (Rt) before and after lockdown measures, while ""For"" could refer to predictions of future fatalities due to the virus.","For Against is a United States post-punk/dream pop band from Lincoln, Nebraska. Despite numerous lineup shuffles and some periods of dormancy, the band has produced material steadily from its 1984 inception to the present.",Direct,0.0,0.0,0.0,0.0,0.0,0.0,0.3061490058898926,0.15384615384615383,0.1818181818181818,0.0122835853347209,0.0,0.42038702964782715,0.5796129703521729,10.359992742538452,False,,
